Source;Target;weight
Aegon-I-Targaryen;Harren-Hoare;4
Aegon-I-Targaryen;Nan;3
Aegon-I-Targaryen;Rhaenys-Targaryen;4
Aegon-I-Targaryen;Tyrion-Lannister;3
Aegon-I-Targaryen;Visenya-Targaryen;3
Aegon-V-Targaryen;Aemon-Targaryen-(Maester-Aemon);3
Aemon-Targaryen-(Maester-Aemon);Daeron-II-Targaryen;3
Aemon-Targaryen-(Maester-Aemon);Jeor-Mormont;9
Aemon-Targaryen-(Maester-Aemon);Jon-Snow;11
Aemon-Targaryen-(Maester-Aemon);Maekar-I-Targaryen;3
Aemon-Targaryen-(Maester-Aemon);Samwell-Tarly;5
Aenys-Frey;Arya-Stark;6
Aeron-Greyjoy;Dagmer;5
Aeron-Greyjoy;Theon-Greyjoy;17
Aerys-I-Targaryen;Robert-Baratheon;3
Aerys-II-Targaryen;Eddard-Stark;5
Aerys-II-Targaryen;Jaime-Lannister;4
Aerys-II-Targaryen;Rhaegar-Targaryen;4
Aerys-II-Targaryen;Robert-Baratheon;6
Aerys-II-Targaryen;Tyrion-Lannister;3
Aggar;Gariss;3
Aggar;Gelmarr;3
Aggar;Gynir;3
Aggar;Ramsay-Snow;4
Aggo;Belwas;3
Aggo;Daenerys-Targaryen;10
Aggo;Jhogo;12
Aggo;Jorah-Mormont;4
Aggo;Rakharo;4
Alayaya;Dancy;3
Alayaya;Tyrion-Lannister;3
Alebelly;Bran-Stark;7
Alebelly;Hayhead;3
Alebelly;Jojen-Reed;6
Alebelly;Mikken;3
Alester-Florent;Cortnay-Penrose;4
Alester-Florent;Davos-Seaworth;3
Alester-Florent;Renly-Baratheon;3
Alester-Florent;Stannis-Baratheon;5
Allar-Deem;Janos-Slynt;3
Allar-Deem;Tyrion-Lannister;4
Allard-Seaworth;Davos-Seaworth;5
Allard-Seaworth;Marya-Seaworth;5
Allard-Seaworth;Stannis-Baratheon;3
Alliser-Thorne;Jeor-Mormont;3
Alliser-Thorne;Joffrey-Baratheon;4
Alliser-Thorne;Jon-Snow;3
Alliser-Thorne;Tyrion-Lannister;8
Amabel;Arya-Stark;6
Amabel;Harra;4
Amory-Lorch;Arya-Stark;9
Amory-Lorch;Cersei-Lannister;4
Amory-Lorch;Chiswyck;4
Amory-Lorch;Dunsen;3
Amory-Lorch;Gendry;3
Amory-Lorch;Gregor-Clegane;7
Amory-Lorch;Hot-Pie;3
Amory-Lorch;Ilyn-Payne;4
Amory-Lorch;Joffrey-Baratheon;7
Amory-Lorch;Meryn-Trant;5
Amory-Lorch;Polliver;3
Amory-Lorch;Rafford;5
Amory-Lorch;Roose-Bolton;3
Amory-Lorch;Sandor-Clegane;5
Amory-Lorch;Tickler;5
Amory-Lorch;Tywin-Lannister;4
Amory-Lorch;Vargo-Hoat;7
Amory-Lorch;Yoren;5
Ardrian-Celtigar;Monford-Velaryon;5
Aron-Santagar;Sandor-Clegane;3
Arwyn-Oakheart;Randyll-Tarly;3
Arya-Stark;Beric-Dondarrion;5
Arya-Stark;Biter;10
Arya-Stark;Bran-Stark;10
Arya-Stark;Cersei-Lannister;7
Arya-Stark;Chiswyck;8
Arya-Stark;Dobber;4
Arya-Stark;Dunsen;3
Arya-Stark;Eddard-Stark;6
Arya-Stark;Gendry;36
Arya-Stark;Gregor-Clegane;4
