German;French;English;Italian;Dutch;Danish;Finnish;Swedish;Greek;Castilian;Catalan;Galician;Portuguese;Romanian;Croatian;Czech;Polish;Hungarian;Turkish
0;122;125;121;130;127;84;126;94;121;114;95;112;94;83;91;86;97;81
122;0;128;128;126;119;95;112;103;119;115;99;119;101;79;88;93;87;82
125;128;0;133;132;124;92;144;104;119;113;94;126;99;83;83;81;86;90
121;128;133;0;125;118;94;109;106;126;114;101;138;110;79;86;89;89;86
130;126;132;125;0;126;92;116;101;115;109;88;117;99;88;87;82;93;93
127;119;124;118;126;0;92;135;92;114;118;101;112;95;81;98;86;95;82
84;95;92;94;92;92;0;91;91;90;94;96;105;91;78;101;92;95;91
126;112;144;109;116;135;91;0;91;115;126;105;105;89;71;103;93;99;75
94;103;104;106;101;92;91;91;0;106;98;91;111;120;86;78;89;85;81
121;119;119;126;115;114;90;115;106;0;127;109;126;103;73;92;98;94;79
114;115;113;114;109;118;94;126;98;127;0;113;114;94;71;97;103;101;77
95;99;94;101;88;101;96;105;91;109;113;0;103;93;70;110;113;91;73
112;119;126;138;117;112;105;105;111;126;114;103;0;110;81;90;96;95;90
94;101;99;110;99;95;91;89;120;103;94;93;110;0;76;82;90;85;89
83;79;83;79;88;81;78;71;86;73;71;70;81;76;0;74;75;77;84
91;88;83;86;87;98;101;103;78;92;97;110;90;82;74;0;117;91;71
86;93;81;89;82;86;92;93;89;98;103;113;96;90;75;117;0;88;68
97;87;86;89;93;95;95;99;85;94;101;91;95;85;77;91;88;0;97
81;82;90;86;93;82;91;75;81;79;77;73;90;89;84;71;68;97;0
