Source;Target;weight
Addam-Marbrand;Brynden-Tully;3
Addam-Marbrand;Cersei-Lannister;3
Addam-Marbrand;Jaime-Lannister;8
Addam-Marbrand;Lyle-Crakehall;4
Brynden-Tully;Jaime-Lannister;22
Brynden-Tully;Lyle-Crakehall;4
Brynden-Tully;Catelyn-Stark;3
Brynden-Tully;Daven-Lannister;3
Brynden-Tully;Edmure-Tully;15
Brynden-Tully;Edwyn-Frey;3
Brynden-Tully;Emmon-Frey;7
Brynden-Tully;Ryman-Frey;3
Cersei-Lannister;Jaime-Lannister;62
Cersei-Lannister;Rhaegar-Targaryen;8
Cersei-Lannister;Jon-Snow;3
Cersei-Lannister;Robert-Baratheon;36
Cersei-Lannister;Tywin-Lannister;17
Cersei-Lannister;Margaery-Tyrell;73
Cersei-Lannister;Osney-Kettleblack;27
Cersei-Lannister;Lancel-Lannister;15
Cersei-Lannister;Myrcella-Baratheon;8
Cersei-Lannister;Petyr-Baelish;7
Cersei-Lannister;Doran-Martell;3
Cersei-Lannister;Sansa-Stark;6
Cersei-Lannister;Gyles-Rosby;18
Cersei-Lannister;Harys-Swyft;4
Cersei-Lannister;Loras-Tyrell;24
Cersei-Lannister;Orton-Merryweather;9
Cersei-Lannister;Stannis-Baratheon;14
Cersei-Lannister;Tommen-Baratheon;93
Cersei-Lannister;Falyse-Stokeworth;14
Cersei-Lannister;Gregor-Clegane;10
Cersei-Lannister;Qyburn;30
Cersei-Lannister;Tallad;4
Cersei-Lannister;Meryn-Trant;18
Cersei-Lannister;Osmund-Kettleblack;25
Cersei-Lannister;Joffrey-Baratheon;24
Cersei-Lannister;Tyrion-Lannister;41
Cersei-Lannister;Dorcas;18
Cersei-Lannister;Dunsen;7
Cersei-Lannister;Eddard-Stark;3
Cersei-Lannister;Garlan-Tyrell;3
Cersei-Lannister;Garth-Tyrell;3
Cersei-Lannister;High-Septon-(Tyrions);3
Cersei-Lannister;High-Sparrow;35
Cersei-Lannister;Ilyn-Payne;10
Cersei-Lannister;Jalabhar-Xho;3
Cersei-Lannister;Jocelyn-Swyft;13
Cersei-Lannister;Kevan-Lannister;19
Cersei-Lannister;Mace-Tyrell;20
Cersei-Lannister;Maegor-I-Targaryen;3
Cersei-Lannister;Maggy;5
Cersei-Lannister;Mark-Mullendore;3
Cersei-Lannister;Melara-Hetherspoon;5
Cersei-Lannister;Moon-Boy;5
Cersei-Lannister;Olenna-Redwyne;6
Cersei-Lannister;Osfryd-Kettleblack;8
Cersei-Lannister;Pycelle;15
Cersei-Lannister;Rafford;7
Cersei-Lannister;Raynard;3
Cersei-Lannister;Senelle;9
Cersei-Lannister;Taena-of-Myr;46
Cersei-Lannister;Unella;13
Cersei-Lannister;Varys;7
Cersei-Lannister;Walder-Frey;5
Cersei-Lannister;Daenerys-Targaryen;3
Cersei-Lannister;Moelle;4
