Source;Target;weight
Addam-Marbrand;Brynden-Tully;3
Addam-Marbrand;Cersei-Lannister;3
Addam-Marbrand;Gyles-Rosby;3
Addam-Marbrand;Jaime-Lannister;14
Addam-Marbrand;Jalabhar-Xho;3
Addam-Marbrand;Joffrey-Baratheon;3
Addam-Marbrand;Kevan-Lannister;3
Addam-Marbrand;Lyle-Crakehall;4
Addam-Marbrand;Oberyn-Martell;3
Addam-Marbrand;Tyrion-Lannister;7
Addam-Marbrand;Tywin-Lannister;6
Addam-Marbrand;Varys;4
Aegon-Frey-(son-of-Stevron);Catelyn-Stark;4
Aegon-Frey-(son-of-Stevron);Robb-Stark;5
Aegon-Frey-(son-of-Stevron);Stevron-Frey;3
Aegon-Frey-(son-of-Stevron);Walder-Frey;6
Aegon-I-Targaryen;Daenerys-Targaryen;13
Aegon-I-Targaryen;Eddard-Stark;4
Aegon-I-Targaryen;Harren-Hoare;4
Aegon-I-Targaryen;Nan;3
Aegon-I-Targaryen;Rhaenys-Targaryen;4
Aegon-I-Targaryen;Stannis-Baratheon;4
Aegon-I-Targaryen;Torrhen-Stark;3
Aegon-I-Targaryen;Tyrion-Lannister;3
Aegon-I-Targaryen;Visenya-Targaryen;3
Aegon-Targaryen-(son-of-Rhaegar);Daenerys-Targaryen;11
Aegon-Targaryen-(son-of-Rhaegar);Elia-Martell;7
Aegon-Targaryen-(son-of-Rhaegar);Franklyn-Flowers;3
Aegon-Targaryen-(son-of-Rhaegar);Haldon;14
Aegon-Targaryen-(son-of-Rhaegar);Harry-Strickland;9
Aegon-Targaryen-(son-of-Rhaegar);Jon-Connington;16
Aegon-Targaryen-(son-of-Rhaegar);Lemore;10
Aegon-Targaryen-(son-of-Rhaegar);Rhaegar-Targaryen;12
Aegon-Targaryen-(son-of-Rhaegar);Rhaenys-Targaryen-(daughter-of-Rhaegar);4
Aegon-Targaryen-(son-of-Rhaegar);Rolly-Duckfield;11
Aegon-Targaryen-(son-of-Rhaegar);Tyrion-Lannister;23
Aegon-Targaryen-(son-of-Rhaegar);Tywin-Lannister;3
Aegon-Targaryen-(son-of-Rhaegar);Viserys-Targaryen;3
Aegon-Targaryen-(son-of-Rhaegar);Yandry;6
Aegon-Targaryen-(son-of-Rhaegar);Ysilla;4
Aegon-V-Targaryen;Aemon-Targaryen-(Maester-Aemon);6
Aemon-Targaryen-(Dragonknight);Jaime-Lannister;3
Aemon-Targaryen-(Maester-Aemon);Alleras;4
Aemon-Targaryen-(Maester-Aemon);Alliser-Thorne;7
Aemon-Targaryen-(Maester-Aemon);Bowen-Marsh;4
Aemon-Targaryen-(Maester-Aemon);Chett;9
Aemon-Targaryen-(Maester-Aemon);Clydas;33
Aemon-Targaryen-(Maester-Aemon);Cotter-Pyke;3
Aemon-Targaryen-(Maester-Aemon);Daeron-II-Targaryen;3
