Alghero;Ancona;Bari;Bergamo;Bologna;Bolzano;Brindisi;Cagliari;Catania;Comiso;Crotone;Cuneo;Firenze;Genova;Lamezia;Lampedusa;MI_Linate;MI_Malpensa;Napoli;Olbia;Palermo;Pantelleria;Parma;Perugia;Pescara;Pisa;Reggio_Calabria;RM_Ciampino;RM_Fiumicino;Torino;Trapani;Treviso;Trieste;Venezia;Verona
-1;-1;-1;572;499;-1;-1;-1;-1;-1;-1;-1;-1;423;-1;-1;542;557;505;-1;-1;-1;-1;-1;-1;382;-1;-1;356;511;-1;-1;-1;634;572
-1;-1;-1;;-1;-1;-1;603;699;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;438;605;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
-1;-1;-1;761;585;-1;-1;687;434;-1;-1;-1;-1;742;-1;-1;773;819;-1;609;454;-1;-1;-1;-1;595;-1;-1;686;866;-1;623;585;603;671
572;-1;761;-1;-1;-1;869;716;1015;-1;958;-1;-1;-1;924;1157;-1;-1;648;531;879;1003;-1;-1;508;-1;-1;-1;-1;-1;894;-1;-1;-1;-1
499;-1;585;-1;-1;-1;694;616;847;-1;-1;-1;-1;-1;748;1011;-1;-1;474;429;723;861;-1;-1;-1;-1;-1;-1;314;-1;-1;-1;-1;-1;-1
-1;-1;-1;-1;-1;-1;-1;823;1047;-1;-1;-1;-1;-1;931;-1;-1;-1;-1;636;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
-1;-1;-1;869;694;-1;-1;-1;434;-1;-1;-1;-1;854;-1;-1;823;929;-1;710;-1;-1;-1;-1;-1;707;-1;-1;492;977;-1;724;-1;705;778
-1;603;687;716;616;823;-1;-1;560;-1;-1;601;-1;574;-1;-1;690;710;480;-1;-1;-1;628;-1;-1;507;-1;412;392;671;335;757;-1;746;701
-1;699;434;1015;847;1047;434;560;-1;-1;-1;-1;777;932;191;310;1011;1050;386;-1;190;284;-1;662;557;797;-1;-1;539;1059;-1;941;939;922;948
-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1041;1078;-1;-1;-1;-1;-1;-1;-1;826;-1;-1;571;-1;-1;-1;-1;-1;-1
-1;-1;-1;958;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;764;-1;-1;-1;-1;-1;-1;-1;-1;-1
-1;-1;-1;-1;-1;-1;-1;601;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;434;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;844;-1;-1;-1;-1
-1;-1;-1;-1;-1;-1;-1;-1;777;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;646;-1;-1;-1;-1;-1;-1;-1;239;-1;-1;-1;-1;-1;-1
423;-1;742;-1;-1;-1;854;574;932;-1;-1;-1;-1;-1;867;1042;-1;-1;593;394;779;-1;-1;-1;-1;-1;-1;-1;401;-1;786;-1;-1;-1;-1
-1;-1;-1;924;748;931;-1;-1;191;-1;-1;-1;-1;867;-1;-1;927;970;-1;-1;-1;-1;-1;-1;-1;722;-1;-1;467;996;-1;820;-1;-1;-1
-1;-1;-1;1157;1011;-1;-1;-1;310;-1;-1;-1;-1;1042;-1;-1;1143;1174;-1;-1;302;-1;1056;-1;-1;-1;-1;-1;702;1157;-1;-1;-1;1113;1111
542;-1;773;-1;-1;-1;823;690;1011;1041;-1;-1;-1;-1;927;1143;-1;-1;651;507;869;987;-1;-1;517;;976;-1;472;-1;882;-1;330;-1;-1
557;-1;819;-1;-1;-1;929;710;1050;1078;-1;-1;-1;-1;970;1174;-1;-1;694;530;904;1017;-1;-1;-1;-1;-1;-1;512;-1;-1;-1;-1;-1;172
505;-1;;648;474;-1;-1;480;386;-1;-1;-1;-1;593;-1;-1;651;694;-1;401;317;-1;-1;-1;-1;-1;-1;-1;198;721;365;556;553;537;572
-1;438;609;531;429;636;710;-1;-1;-1;-1;434;-1;394;-1;-1;507;530;401;-1;431;-1;-1;348;424;319;-1;-1;250;502;-1;-1;635;561;513
-1;605;454;879;723;-1;-1;-1;190;-1;-1;-1;646;779;-1;302;869;904;317;431;-1;182;-1;-1;-1;654;-1;-1;409;902;-1;834;-1;817;824
-1;-1;-1;1003;861;-1;-1;-1;284;-1;-1;-1;-1;-1;-1;-1;987;1017;-1;-1;182;-1;-1;-1;-1;-1;-1;-1;555;1000;130;-1;-1;967;-1
-1;-1;-1;-1;-1;-1;-1;628;;-1;-1;-1;-1;-1;-1;1056;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
-1;-1;-1;-1;-1;-1;-1;-1;662;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;348;-1;-1;-1;-1;-1;-1;-1;-1;145;-1;-1;-1;-1;-1;-1
-1;-1;-1;508;-1;-1;-1;-1;557;-1;-1;-1;-1;-1;-1;-1;517;-1;-1;424;-1;-1;-1;-1;-1;-1;-1;-1;-1;608;-1;-1;-1;-1;-1
382;-1;595;-1;-1;-1;707;507;797;826;764;-1;-1;-1;722;-1;-1;-1;-1;319;654;-1;-1;-1;-1;-1;-1;-1;260;-1;-1;-1;-1;-1;-1
-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;976;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;506;1033;-1;-1;-1;-1;-1
-1;-1;-1;-1;-1;-1;-1;412;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;434;-1;453;-1;-1
356;-1;686;-1;314;-1;492;392;539;571;-1;-1;239;401;467;702;472;512;198;250;409;555;-1;145;-1;260;506;-1;-1;530;434;-1;458;412;415
511;-1;866;-1;-1;-1;977;671;1059;-1;-1;-1;-1;-1;996;1157;-1;-1;721;502;902;1000;-1;-1;608;-1;1033;-1;530;-1;906;-1;-1;-1;-1
-1;-1;-1;894;-1;-1;-1;335;-1;-1;-1;844;-1;786;-1;-1;882;-1;365;-1;-1;130;-1;-1;-1;-1;-1;434;434;906;-1;-1;-1;-1;-1
-1;-1;623;-1;-1;-1;724;757;941;-1;-1;-1;-1;-1;820;-1;-1;-1;556;-1;834;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
-1;-1;585;-1;-1;-1;-1;-1;939;-1;-1;-1;-1;-1;-1;-1;330;-1;553;635;-1;-1;-1;-1;-1;-1;-1;453;458;-1;-1;-1;-1;-1;-1
634;-1;603;-1;-1;-1;705;746;922;-1;-1;-1;-1;-1;-1;1113;-1;-1;537;561;817;967;-1;-1;-1;-1;-1;-1;412;-1;-1;-1;-1;-1;-1
572;-1;671;-1;-1;-1;778;701;948;-1;-1;-1;-1;-1;-1;1111;-1;172;572;513;824;-1;-1;-1;-1;-1;-1;-1;415;-1;-1;-1;-1;-1;-1
