,ALBUQUERQUE,ATLANTA,BALTIMORE,BOSTON,BUFFALO,CHEYENNE,CHICAGO,CINCINNATI,CLEVELAND,DALLAS,DENVER,DETROIT,EL PASO,HOUSTON,INDIANAPOLIS,JACKSONVILLE,KANSAS CITY,LAS VEGAS,LOS ANGELES,MEMPHIS,MIAMI,MILWAUKEE,MOBILE,MONTREAL,NEW ORLEANS,NEW YORK,OAKLAND/EMERYVILLE ,PHILADELPHIA,PHOENIX,PITTSBURGH,PORTLAND,SACRAMENTO,SALT LAKE CITY,SAN ANTONIO,SAN DIEGO,SAN FRANCISCO,SEATTLE,ST. LOUIS,ST. PAUL-MINNEAPOLIS, TAMPA,TORONTO,TUCSON,VANCOUVER,WASHINGTON
ALBUQUERQUE,,2038,2683,3170,2545,702,1796,1994,2269,915,561,2164,362,1197,1865,2380,1155,780,1087,1513,2716,1835,1781,2994,1632,2919,1426,2806,527,2386,1786,1391,792,981,1010,1440,1896,1500,1577,2408,2499,516,2075,2616
ATLANTA,,,929,1523,1152,2052,976,603,894,1174,1925,958,2060,1107,696,436,1112,2804,3125,532,249,1078,486,1600,683,1216,3419,1072,2548,848,3488,3359,2553,1404,3038,3436,3504,777,1459,656,1193,2474,3611,861
BALTIMORE,,,,594,464,2462,998,690,504,1956,2394,657,2800,1986,829,1069,1552,3382,3741,1266,1510,1030,1415,738,1607,288,3929,144,3210,340,3786,3846,2995,2263,3687,3947,3748,1185,1503,1359,558,3175,3807,72
BOSTON,,,,,644,2855,1391,1207,902,2510,2817,1015,3324,2568,1314,1627,2017,3823,4194,1832,2011,1381,2009,408,2200,307,4325,450,3694,798,4073,4233,3381,2836,4158,4343,4006,1681,1804,1909,715,3677,4035,662
BUFFALO,,,,,,2211,753,658,305,1947,2175,381,2719,2062,723,1416,1390,3182,3555,1307,1905,738,1606,487,1770,480,3682,460,3065,305,3452,3590,2738,2303,3522,3700,3395,1079,1169,1706,97,3055,3437,467
CHEYENNE     ,,,,,,,1475,1798,1983,1208,184,1849,1061,1566,1644,2462,955,1007,1388,1536,2895,1474,1958,2603,1874,2649,1473,2561,1040,2131,1443,1385,533,1463,1398,1491,1483,1333,1085,2572,2144,1125,1621,2404
CHICAGO,,,,,,,,425,508,1291,1427,376,1990,1491,285,1393,647,2432,2803,792,1918,108,1257,1200,1350,1173,2948,1088,2314,660,2792,2861,2007,1678,2770,2966,2762,416,537,1631,702,2309,2832,946
CINCINNATI,,,,,,,,,355,1306,1718,368,2122,1403,159,990,867,2695,3053,649,1517,511,987,1145,1131,932,3254,813,2521,409,3171,3176,2329,1649,2998,3272,3154,495,958,1248,665,2488,3234,623
CLEVELAND,,,,,,,,,,1643,1930,154,2428,1757,421,1215,1116,2931,3299,1003,1728,528,1324,792,1480,666,3455,581,2793,167,3285,3369,2515,1998,3258,3474,3245,784,1000,1496,331,2775,3304,462
DALLAS,,,,,,,,,,,1031,1586,887,362,1224,1476,742,1695,1984,693,1802,1373,867,2432,721,2224,2339,2093,1394,1715,2597,2299,1590,398,1881,2354,2668,885,1372,1493,1931,1305,2820,1884
DENVER,,,,,,,,,,,,1803,909,1387,1568,2326,856,1009,1385,1401,2745,1439,1803,2588,1709,2596,1537,2501,968,2070,1593,1460,628,1279,1372,1554,1645,1236,1094,2423,2114,1027,1791,2333
DETROIT,,,,,,,,,,,,,2340,1731,371,1312,1009,2808,3179,982,1833,381,1354,851,1493,802,3321,728,2684,321,3135,3233,2379,1954,3144,3340,3094,707,848,1585,346,2674,3150,616
EL PASO,,,,,,,,,,,,,,1074,2011,2352,1345,937,1147,1564,2625,2044,1729,3187,1552,3054,1585,2931,556,2527,2073,1576,1117,799,1021,1596,2201,1644,1849,2335,2684,430,2388,2730
HOUSTON,,,,,,,,,,,,,,,1360,1313,1037,1963,2216,754,1552,1586,686,2548,490,2269,2616,2130,1621,1797,2934,2586,1923,306,2094,2629,3013,1075,1667,1265,2062,1503,3170,1915
INDIANAPOLIS,,,,,,,,,,,,,,,,1108,724,2553,2914,613,1634,383,1021,1207,1141,1054,3104,944,2391,521,3013,3025,2176,1586,2864,3122,2996,367,808,1351,708,2366,3076,766
JACKSONVILLE,,,,,,,,,,,,,,,,,1537,3157,3459,926,527,1491,628,1802,826,1333,3788,1196,2870,1120,3904,3735,2950,1619,3358,3803,3926,1213,1891,292,1478,2778,4039,1017
KANSAS CITY,,,,,,,,,,,,,,,,,,1830,2190,632,2008,700,1124,1847,1113,1772,2391,1666,1677,1239,2379,2316,1477,1139,2144,2408,2392,381,1780,1687,1347,1665,2501,1488
LAS VEGAS,,,,,,,,,,,,,,,,,,,381,2274,3495,2447,2561,3596,2411,3595,654,3494,411,3065,1227,639,591,1718,418,666,1394,2203,2088,3188,3122,587,1597,3318
LOS ANGELES,,,,,,,,,,,,,,,,,,,,2600,3765,2821,2848,3973,2684,3961,542,3857,595,3429,1343,600,949,1945,176,544,1537,2558,2468,3468,3497,725,1741,3676
MEMPHIS,,,,,,,,,,,,,,,,,,,,,1378,897,512,1794,563,1539,2887,1405,2029,1047,2978,2828,2027,1005,2518,2904,3005,413,1128,1056,1309,1965,3123,1194
MIAMI,,,,,,,,,,,,,,,,,,,,,,2017,947,2247,1084,1742,4141,1618,3170,1620,4186,4100,3355,1839,3646,4155,4375,1712,2407,324,1975,3055,4498,1471
MILWAUKEE,,,,,,,,,,,,,,,,,,,,,,,1364,1161,1457,1182,2946,1108,2347,690,2757,2855,2002,1764,2794,2964,2719,511,477,1733,676,2350,2782,983
