,ALBUQUERQUE,ATLANTA,BALTIMORE,BOSTON,BUFFALO,CHEYENNE,CHICAGO,CINCINNATI,CLEVELAND,DALLAS,DENVER,DETROIT,EL PASO,HOUSTON,INDIANAPOLIS,JACKSONVILLE,KANSAS CITY,LAS VEGAS,LOS ANGELES,MEMPHIS,MIAMI,MILWAUKEE,MOBILE,MONTREAL,NEW ORLEANS,NEW YORK,OAKLAND/EMERYVILLE ,PHILADELPHIA,PHOENIX,PITTSBURGH,PORTLAND,SACRAMENTO,SALT LAKE CITY,SAN ANTONIO,SAN DIEGO,SAN FRANCISCO,SEATTLE,ST. LOUIS,ST. PAUL-MINNEAPOLIS, TAMPA,TORONTO,TUCSON,VANCOUVER,WASHINGTON
ALBUQUERQUE,,18,,,,,28,,,55,27,,,20,,,,,34,,,,,,,,,,27,,7,,20,,7,26,14,,7,,,,,
ATLANTA,13,,80,85,34,,163,54,53,133,80,83,19,102,67,86,61,54,105,68,221,53,7,33,74,337,6,105,55,58,35,20,57,53,34,60,50,55,77,92,78,13,2,72
BALTIMORE,,58,,,,,47,,,28,13,33,,14,,,,,13,,20,,,,,,,,14,,7,,13,,7,13,6,,27,,21,,,
BOSTON,,69,,,18,,130,24,,46,33,51,,34,19,13,13,14,129,,54,13,,6,,323,,80,28,19,14,,20,,27,116,53,,51,13,55,,6,28
BUFFALO,,28,,16,,,66,,,,,26,,,,,,,,,,,,,,73,,6,,,,,,,,,,,13,,,,,26
CHEYENNE     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHICAGO,24,140,43,122,73,,,56,91,137,116,136,28,88,55,43,79,56,144,54,105,6,,41,34,406,,101,81,82,63,20,76,40,60,154,113,59,157,40,102,21,43,38
CINCINNATI,,38,,20,,,48,,,50,19,39,,32,,,,7,13,,7,,,,,99,,40,,,,,14,,,13,6,6,33,7,,,,26
CLEVELAND,,40,,,,,70,,,31,28,34,,28,,,,,12,,,,,,,77,,12,,,,,,,,14,,,26,,,,,13
DALLAS,50,113,25,41,,,115,43,29,,97,72,61,124,34,33,47,79,131,36,109,27,21,13,55,191,13,54,81,32,40,32,82,76,62,82,84,46,89,36,46,40,20,40
DENVER,29,65,12,29,,,110,19,26,82,,41,7,73,21,7,38,38,98,10,32,13,,14,12,143,,33,50,13,34,33,85,24,35,80,104,13,70,15,33,6,40,54
DETROIT,,70,23,41,17,,114,28,24,52,31,,,67,45,6,26,37,43,18,62,45,,26,20,178,,67,40,33,19,,26,20,20,30,50,38,51,27,29,,,46
