Source;Target;weight
Aegon-I-Targaryen;Daenerys-Targaryen;4
Aegon-Targaryen-(son-of-Rhaegar);Daenerys-Targaryen;11
Aegon-Targaryen-(son-of-Rhaegar);Elia-Martell;4
Aegon-Targaryen-(son-of-Rhaegar);Franklyn-Flowers;3
Aegon-Targaryen-(son-of-Rhaegar);Haldon;14
Aegon-Targaryen-(son-of-Rhaegar);Harry-Strickland;9
Aegon-Targaryen-(son-of-Rhaegar);Jon-Connington;16
Aegon-Targaryen-(son-of-Rhaegar);Lemore;10
Aegon-Targaryen-(son-of-Rhaegar);Rhaegar-Targaryen;9
Aegon-Targaryen-(son-of-Rhaegar);Rhaenys-Targaryen-(daughter-of-Rhaegar);4
Aegon-Targaryen-(son-of-Rhaegar);Rolly-Duckfield;11
Aegon-Targaryen-(son-of-Rhaegar);Tyrion-Lannister;23
Aegon-Targaryen-(son-of-Rhaegar);Tywin-Lannister;3
Aegon-Targaryen-(son-of-Rhaegar);Viserys-Targaryen;3
Aegon-Targaryen-(son-of-Rhaegar);Yandry;6
Aegon-Targaryen-(son-of-Rhaegar);Ysilla;4
Aemon-Targaryen-(Maester-Aemon);Clydas;7
Aemon-Targaryen-(Maester-Aemon);Gilly;3
Aemon-Targaryen-(Maester-Aemon);Jon-Snow;12
Aemon-Targaryen-(Maester-Aemon);Samwell-Tarly;16
Aemon-Targaryen-(Maester-Aemon);Stannis-Baratheon;3
Aenys-Frey;Hosteen-Frey;6
Aenys-Frey;Theon-Greyjoy;3
Aenys-Frey;Wyman-Manderly;4
Aeron-Greyjoy;Euron-Greyjoy;4
Aeron-Greyjoy;Victarion-Greyjoy;3
Aerys-II-Targaryen;Rhaegar-Targaryen;5
Aerys-II-Targaryen;Robert-Baratheon;5
Aerys-II-Targaryen;Tywin-Lannister;6
Aggo;Barristan-Selmy;3
Aggo;Daario-Naharis;4
Aggo;Daenerys-Targaryen;9
Aggo;Grey-Worm;5
Aggo;Jhogo;6
Aggo;Rakharo;9
Alliser-Thorne;Jon-Snow;6
Alys-Karstark;Jon-Snow;13
Alys-Karstark;Melisandre;6
Alys-Karstark;Sigorn;5
Alysane-Mormont;Asha-Greyjoy;18
Alysane-Mormont;Justin-Massey;5
Alysane-Mormont;Stannis-Baratheon;5
Archibald-Yronwood;Cletus-Yronwood;5
Archibald-Yronwood;Gerris-Drinkwater;13
Archibald-Yronwood;Quentyn-Martell;21
Archibald-Yronwood;Tattered-Prince;4
Areo-Hotah;Arianne-Martell;11
Areo-Hotah;Arys-Oakheart;4
Areo-Hotah;Balon-Swann;4
Areo-Hotah;Doran-Martell;12
Areo-Hotah;Ellaria-Sand;3
Areo-Hotah;Obara-Sand;6
Arianne-Martell;Balon-Swann;5
Arianne-Martell;Doran-Martell;11
Arianne-Martell;Ellaria-Sand;3
Arianne-Martell;Myrcella-Baratheon;4
Arianne-Martell;Obara-Sand;5
Arnolf-Karstark;Arthor-Karstark;3
Arnolf-Karstark;Asha-Greyjoy;3
Arnolf-Karstark;Mors-Umber;4
Arnolf-Karstark;Rickard-Karstark;3
Arnolf-Karstark;Stannis-Baratheon;7
Arron;Emrick;6
Arron;Hareth-(Moles-Town);4
Arron;Satin;4
Arya-Stark;Bran-Stark;7
Arya-Stark;Brusco;4
Arya-Stark;Eddard-Stark;4
Arya-Stark;Jeyne-Poole;4
Arya-Stark;Jon-Snow;12
Arya-Stark;Kindly-Man;4
Arya-Stark;Mance-Rayder;3
Arya-Stark;Melisandre;4
Arya-Stark;Ramsay-Snow;5
Arya-Stark;Sansa-Stark;4
Arya-Stark;Theon-Greyjoy;7
Arya-Stark;Waif;3
Arys-Oakheart;Gerold-Dayne;3
Asha-Greyjoy;Clayton-Suggs;4
Asha-Greyjoy;Euron-Greyjoy;4
Asha-Greyjoy;Galbart-Glover;8
Asha-Greyjoy;Godry-Farring;3
Asha-Greyjoy;Grimtongue;3
Asha-Greyjoy;Hagen;3
Asha-Greyjoy;Justin-Massey;15
Asha-Greyjoy;Qarl-the-Maid;8
Asha-Greyjoy;Robert-Baratheon;4
Asha-Greyjoy;Rolfe-the-Dwarf;3
Asha-Greyjoy;Stannis-Baratheon;16
Asha-Greyjoy;Sybelle-Glover;3
Asha-Greyjoy;Theon-Greyjoy;7
Asha-Greyjoy;Torgon-Greyiron;3
Asha-Greyjoy;Tristifer-Botley;12
Asha-Greyjoy;Tycho-Nestoris;3
Ashara-Dayne;Elia-Martell;3
Axell-Florent;Jon-Snow;4
Axell-Florent;Melisandre;5
Axell-Florent;Selyse-Florent;8
Axell-Florent;Shireen-Baratheon;3
Axell-Florent;Stannis-Baratheon;3
Azor-Ahai;Stannis-Baratheon;3
Balon-Greyjoy;Euron-Greyjoy;3
Balon-Greyjoy;Theon-Greyjoy;3
Balon-Swann;Doran-Martell;11
Balon-Swann;Gerold-Dayne;3
Balon-Swann;Myrcella-Baratheon;4
Balon-Swann;Tyrion-Lannister;3
Barbrey-Dustin;Jeyne-Poole;5
Barbrey-Dustin;Ramsay-Snow;5
Barbrey-Dustin;Roger-Ryswell;4
Barbrey-Dustin;Roose-Bolton;3
Barbrey-Dustin;Stannis-Baratheon;3
Barbrey-Dustin;Theon-Greyjoy;17
Barristan-Selmy;Belwas;9
Barristan-Selmy;Ben-Plumm;4
Barristan-Selmy;Bloodbeard;3
Barristan-Selmy;Daario-Naharis;18
Barristan-Selmy;Daenerys-Targaryen;75
Barristan-Selmy;Galazza-Galare;5
Barristan-Selmy;Gerris-Drinkwater;4
Barristan-Selmy;Grazhar;3
Barristan-Selmy;Grey-Worm;6
Barristan-Selmy;Groleo;8
Barristan-Selmy;Hizdahr-zo-Loraq;42
Barristan-Selmy;Jhogo;3
Barristan-Selmy;Khrazz;8
Barristan-Selmy;Larraq;3
Barristan-Selmy;Missandei;8
Barristan-Selmy;Quentyn-Martell;22
Barristan-Selmy;Reznak-mo-Reznak;7
Barristan-Selmy;Rhaegar-Targaryen;3
Barristan-Selmy;Skahaz-mo-Kandaq;21
Barristan-Selmy;Steelskin;3
Barristan-Selmy;Tyrion-Lannister;3
Barristan-Selmy;Varys;3
Barristan-Selmy;Widower;3
Barristan-Selmy;Xaro-Xhoan-Daxos;3
Barsena;Daenerys-Targaryen;4
Bartimus;Davos-Seaworth;4
Belaquo;Goghor-the-Giant;7
Belaquo;Hizdahr-zo-Loraq;3
Belaquo;Irri;3
Belaquo;Spotted-Cat;5
Belwas;Daenerys-Targaryen;13
Belwas;Hizdahr-zo-Loraq;11
Belwas;Quentyn-Martell;3
Belwas;Skahaz-mo-Kandaq;3
Ben-Bones;Ramsay-Snow;5
Ben-Bones;Theon-Greyjoy;4
Ben-Plumm;Daario-Naharis;9
Ben-Plumm;Daenerys-Targaryen;14
Ben-Plumm;Hizdahr-zo-Loraq;3
Ben-Plumm;Kasporio;3
Ben-Plumm;Penny;3
Ben-Plumm;Tybero-Istarion;5
Ben-Plumm;Tyrion-Lannister;4
Benerro;Daenerys-Targaryen;3
Benerro;Haldon;4
Benerro;Moqorro;4
Benerro;Tyrion-Lannister;7
Benethon-Scales;Narbert-Grandison;3
Benethon-Scales;Selyse-Florent;4
Benjen-Stark;Jon-Snow;4
Black-Balaq;Franklyn-Flowers;3
Bloodbeard;Daenerys-Targaryen;3
Bloodbeard;Hizdahr-zo-Loraq;5
Bloodbeard;Tattered-Prince;3
Boros-Blount;Meryn-Trant;3
Boros-Blount;Tommen-Baratheon;4
Bowen-Marsh;Cellador;8
Bowen-Marsh;Eddison-Tollett;9
Bowen-Marsh;Jon-Snow;45
Bowen-Marsh;Mance-Rayder;5
Bowen-Marsh;Othell-Yarwyck;19
Bowen-Marsh;Satin;3
Bowen-Marsh;Stannis-Baratheon;3
Bowen-Marsh;Tormund;5
Bowen-Marsh;Wick-Whittlestick;5
Bran-Stark;Brynden-Rivers;14
Bran-Stark;Coldhands;6
Bran-Stark;Eddard-Stark;4
Bran-Stark;Hodor;50
Bran-Stark;Jojen-Reed;17
Bran-Stark;Jon-Snow;4
Bran-Stark;Leaf;5
Bran-Stark;Meera-Reed;33
Bran-Stark;Rickon-Stark;7
Bran-Stark;Robb-Stark;6
Bran-Stark;Theon-Greyjoy;8
Brandon-Norrey;Jon-Snow;3
Brandon-Norrey;Torghen-Flint;3
Brea;Brusco;3
Brienne-of-Tarth;Cersei-Lannister;3
Brienne-of-Tarth;Jaime-Lannister;3
Brus-Buckler;Malegorn;6
Brus-Buckler;Narbert-Grandison;4
Brus-Buckler;Selyse-Florent;5
Brynden-Rivers;Meera-Reed;3
Brynden-Tully;Jaime-Lannister;4
Bump;Varamyr;5
Caggo;Gerris-Drinkwater;3
Caggo;Lucifer-Long;3
Caggo;Meris;7
Caggo;Quentyn-Martell;7
Caggo;Tattered-Prince;4
Caleotte;Doran-Martell;3
Caleotte;Gregor-Clegane;4
Camarron;Spotted-Cat;3
Catelyn-Stark;Eddard-Stark;5
Cellador;Clydas;3
Cellador;Jon-Snow;3
Cellador;Othell-Yarwyck;8
Cersei-Lannister;Daenerys-Targaryen;3
Cersei-Lannister;Doran-Martell;3
Cersei-Lannister;Dunsen;3
Cersei-Lannister;Gregor-Clegane;4
Cersei-Lannister;High-Sparrow;11
Cersei-Lannister;Ilyn-Payne;4
Cersei-Lannister;Jaime-Lannister;13
Cersei-Lannister;Joffrey-Baratheon;3
Cersei-Lannister;Kevan-Lannister;10
Cersei-Lannister;Lancel-Lannister;6
Cersei-Lannister;Mace-Tyrell;3
Cersei-Lannister;Margaery-Tyrell;6
Cersei-Lannister;Meryn-Trant;3
Cersei-Lannister;Moelle;4
Cersei-Lannister;Myrcella-Baratheon;4
Cersei-Lannister;Osney-Kettleblack;3
Cersei-Lannister;Qyburn;3
Cersei-Lannister;Rafford;3
Cersei-Lannister;Rhaegar-Targaryen;3
