Neuron 1;Neuron 2;Nbr
ADAR;ADAL;1
ADFL;ADAL;1
ASHL;ADAL;1
AVDR;ADAL;2
PVQL;ADAL;1
ADEL;ADAL;1
ADFL;ADAL;1
AIAL;ADAL;1
AIBL;ADAL;1
AIBR;ADAL;2
ASHL;ADAL;1
AVAR;ADAL;2
AVBL;ADAL;4
AVBR;ADAL;2
AVBR;ADAL;5
AVDL;ADAL;1
AVEL;ADAL;1
AVJR;ADAL;5
AWAL;ADAL;1
FLPR;ADAL;1
PVPL;ADAL;1
PVR;ADAL;1
RICL;ADAL;1
RICL;ADAL;1
RICR;ADAL;1
RIML;ADAL;3
RIPL;ADAL;1
RMGL;ADAL;1
SMDVR;ADAL;2
ADAL;ADAR;1
ADFR;ADAR;1
ASHR;ADAR;1
AVDL;ADAR;2
PVQR;ADAR;1
ADER;ADAR;1
ADFR;ADAR;1
AIAR;ADAR;1
AIBL;ADAR;1
AIBR;ADAR;1
ASHR;ADAR;2
AVAL;ADAR;1
AVBL;ADAR;1
AVBL;ADAR;1
AVBR;ADAR;5
AVEL;ADAR;1
AVJL;ADAR;1
AVJL;ADAR;2
RICL;ADAR;1
RICL;ADAR;1
RICR;ADAR;1
RIMR;ADAR;5
RIMR;ADAR;1
RIPR;ADAR;1
RIVR;ADAR;1
RMGR;ADAR;1
SMDVL;ADAR;2
URBR;ADAR;1
ADAL;ADEL;1
AINL;ADEL;1
AVKR;ADEL;1
ADER;ADEL;1
ADER;ADEL;2
ALA;ADEL;1
AVAL;ADEL;2
AVAR;ADEL;3
AVEL;ADEL;1
AVL;ADEL;1
BDUL;ADEL;1
BDUL;ADEL;3
CEPDL;ADEL;1
FLPL;ADEL;1
FLPL;ADEL;1
FLPL;ADEL;2
IL1L;ADEL;1
IL2L;ADEL;1
IL2L;ADEL;1
IL2L;ADEL;2
OLLL;ADEL;1
OLLL;ADEL;1
RIAL;ADEL;1
RIFL;ADEL;1
RIGL;ADEL;2
RIGL;ADEL;3
RIGR;ADEL;3
RIGR;ADEL;3
RIH;ADEL;2
RIVL;ADEL;1
RIVR;ADEL;1
RMDL;ADEL;2
RMDL;ADEL;2
RMGL;ADEL;1
RMHL;ADEL;1
SIADR;ADEL;1
SIBDR;ADEL;1
SMBDR;ADEL;1
URBL;ADEL;1
ADAR;ADER;1
ADEL;ADER;2
ADEL;ADER;1
AVKL;ADER;1
ALA;ADER;1
ALNR;ADER;1
AVAL;ADER;1
AVAL;ADER;4
AVAR;ADER;1
AVAR;ADER;1
AVDR;ADER;2
AVER;ADER;1
AVJR;ADER;1
AVKL;ADER;1
AVKL;ADER;1
AVKR;ADER;1
AVM;ADER;1
AVM;ADER;1
BDUR;ADER;1
CEPDR;ADER;1
FLPL;ADER;1
FLPL;ADER;2
FLPR;ADER;1
FLPR;ADER;1
FLPR;ADER;1
IL2R;ADER;1
IL2R;ADER;1
OLLR;ADER;2
PVR;ADER;1
RIGL;ADER;4
RIGL;ADER;3
RIGR;ADER;4
RIH;ADER;1
RMDR;ADER;2
SAAVR;ADER;1
ADAL;ADFL;1
ADAL;ADFL;1
AIZL;ADFL;5
AIZL;ADFL;7
ASHL;ADFL;3
AUAL;ADFL;1
AUAL;ADFL;4
AWBL;ADFL;1
AWBL;ADFL;8
OLQVL;ADFL;1
RIAL;ADFL;3
RIAL;ADFL;12
RIGL;ADFL;1
RIR;ADFL;2
SMBVL;ADFL;2
ADAR;ADFR;1
ADAR;ADFR;1
AIAR;ADFR;1
AIYR;ADFR;1
AIYR;ADFR;1
AIZR;ADFR;3
AIZR;ADFR;5
ASEL;ADFR;1
ASHR;ADFR;1
ASHR;ADFR;2
AUAR;ADFR;4
AVHL;ADFR;3
AWAR;ADFR;3
AWBR;ADFR;1
AWBR;ADFR;1
AWBR;ADFR;3
PVPR;ADFR;1
